keys,en
APP_TITLE,"Who Am I? Party"
APP_SUBTITLE,"Stick a name on your friend. Guess your own."
MENU_NAME,"Name"
MENU_HOST_LAN,"Host a room (LAN)"
MENU_JOIN,"Join"
MENU_HOWTO,"How to play"
MENU_QUIT,"Quit"
STATUS_HOSTING,"Opening the living room…"
STATUS_CONNECTING,"Connecting…"
HOST_LEFT,"The host left. The room is closed."
LOBBY_FULL,"That room is full."
NEED_TWO_PLAYERS,"You need at least two players to start."
HOWTO_SHORT,"Everyone writes a name for the player on their right. It gets stuck to their forehead. Take turns asking yes/no questions. Guess who you are!"
HINT_CONTROLS,"WASD move · Space jump · C crouch · E sit · F ready · Enter chat · Esc mouse"
STATE_MENU,"Menu"
STATE_LOBBY,"Lobby"
STATE_COUNTDOWN,"Get ready!"
STATE_WRITING,"Write a name"
STATE_STICKING,"Sticking…"
STATE_GUESSING,"Guessing"
STATE_REVEAL,"Reveal"
